lat,lon,zip_code
43.7,-79.516,M9N 2B3
43.648,-79.402,M5T 1A4
43.664,-79.384,M4Y 1X9
43.723,-79.299,M1L 2K1
43.771,-79.302,M1T 1W9
43.776,-79.344,M2J 0A9
43.804,-79.217,M1B 4Y7
43.645,-79.532,M9A 1C1
43.79,-79.141,M1C 2L0
43.731,-79.599,M9V 5B5
43.641,-79.415,M6K 3M9
43.667,-79.374,M5A 2K6
43.667,-79.345,M4M 1Y5
43.674,-79.463,
43.672,-79.395,M5R 1A9
43.689,-79.298,M4C 1L8
43.77,-79.261,M1P 4M2
43.76,-79.225,M1H 2A0
43.708,-79.401,M4R 0A2
43.739,-79.513,M3L 2E8
43.672,-79.377,M4X 1W4
43.654,-79.374,M5B 2E1
43.638,-79.433,M6K 1G4
43.721,-79.509,M3L 2H9
43.661,-79.374,M5A 2P2
43.756,-79.224,M1H 3A1
43.699,-79.254,M1N 1T5
43.783,-79.205,M1E 5E1
43.768,-79.503,M3J 3L3
43.656,-79.409,M6G 4C1
43.692,-79.52,M9P 3W3
43.792,-79.365,M2H 1G6
43.743,-79.245,M1J 3L9
43.683,-79.324,M4C 1E2
43.777,-79.254,M1H 3E3
43.765,-79.498,M3J 3G3
43.759,-79.518,M3N 2Y9
43.745,-79.22,M1J 3C3
43.726,-79.513,M3L 2H9
43.753,-79.187,M1E 1S4
43.715,-79.289,M1L 1Z9
43.692,-79.531,M9P 3A9
43.796,-79.294,M1S 1J1
43.73,-79.438,M6A 2Z1
43.779,-79.358,M2J 2G3
43.78,-79.416,M2N 5S2
43.661,-79.364,M5A 2G7
43.665,-79.385,M4Y 1E7
43.789,-79.194,M1E 4P7
43.639,-79.492,M8Y 4B6
43.729,-79.256,M1K 4C9
43.73,-79.48,M3K 1W3
43.726,-79.484,M3M 1J8
43.797,-79.286,M1S 3H5
43.77,-79.187,M1E 2N7
43.79,-79.362,M2H 1G6
43.791,-79.363,M2H 1G6
43.649,-79.371,M5A 4S5
43.742,-79.24,M1J 1J1
43.66,-79.376,M5B 1G7
43.644,-79.526,M8X 1G4
43.768,-79.502,M3J 3L3
43.679,-79.3,M4L 1V5
43.679,-79.326,M4J 1G3
43.64,-79.432,M6K 2J2
43.65,-79.376,M5A 2W4
43.71,-79.441,M6B 2A2
43.696,-79.552,M9R 3C8
43.711,-79.377,M4P 1P8
43.769,-79.52,M3N 2S6
43.775,-79.327,M2J 4Y1
43.669,-79.442,M6H 2C5
43.815,-79.287,M1V 2T4
43.66,-79.373,M5A 1Z9
43.809,-79.3,M1V 1S9
43.797,-79.326,M1W 1W4
43.659,-79.382,M5B 1R7
43.768,-79.271,M1P 2X3
43.743,-79.219,M1J 3C3
43.728,-79.478,M3K 1V5
43.657,-79.433,M6H 1J6
43.695,-79.455,M6E 2K3
43.666,-79.378,M4Y 2G8
43.65,-79.395,M5T 1A8
43.772,-79.451,M2R 2C1
43.753,-79.259,M1P 2S7
43.672,-79.381,M4W 3Y3
43.753,-79.314,M3A 2W4
43.748,-79.542,M9M 2A8
43.658,-79.371,M5A 1Z9
